username,repositorio,hash,linguagem_programacao,Classificacao
autor nulo,https://github.com/torvalds/linux,b963a22e6d1a266a67e9eecc88134713fd54775c,C,NÃO FAMILIAR
autor nulo,https://github.com/torvalds/linux,fda4e2e85589191b123d31cdc21fd33ee70f50fd,C,NÃO FAMILIAR
autor nulo,https://github.com/torvalds/linux,17d68b763f09a9ce824ae23eb62c9efc57b69271,C,NÃO FAMILIAR
autor nulo,https://github.com/torvalds/linux,a497e47d4aec37aaf8f13509f3ef3d1f6a717d88,C,NÃO FAMILIAR
autor nulo,https://github.com/torvalds/linux,b4789b8e6be3151a955ade74872822f30e8cd914,C,NÃO FAMILIAR
autor nulo,https://github.com/torvalds/linux,f856567b930dfcdbc3323261bf77240ccdde01f5,C,NÃO FAMILIAR
autor nulo,https://github.com/lxc/lxc,f4d5cc8e1f39d132b61e110674528cac727ae0e2,Shell,NÃO FAMILIAR
autor nulo,https://github.com/seam2/jboss-seam,090aa6252affc978a96c388e3fc2c1c2688d9bb5,Java,NÃO FAMILIAR
autor nulo,https://github.com/torvalds/linux,7d267278a9ece963d77eefec61630223fce08c6c,C,NÃO FAMILIAR
autor nulo,https://github.com/torvalds/linux,f2e5ddcc0d12f9c4c7b254358ad245c9dddce13b,C,NÃO FAMILIAR
autor nulo,https://github.com/torvalds/linux,2def2ef2ae5f3990aabdbe8a755911902707d268,C,NÃO FAMILIAR
autor nulo,https://github.com/torvalds/linux,a08d3b3b99efd509133946056531cdf8f3a0c09b,C,NÃO FAMILIAR
autor nulo,https://github.com/ruby-ldap/ruby-net-ldap,b412ca05f6b430eaa1ce97ac95885b4cf187b04a,Ruby,NÃO FAMILIAR
autor nulo,https://github.com/torvalds/linux,86acdca1b63e6890540fa19495cfc708beff3d8b,C,NÃO FAMILIAR
autor nulo,https://github.com/adaptivecomputing/torque,3ed749263abe3d69fa3626d142a5789dcb5a5684,C,NÃO FAMILIAR
autor nulo,https://github.com/sidhpurwala-huzaifa/FreeRDP,e2745807c4c3e0a590c0f69a9b655dc74ebaa03e,C,NÃO FAMILIAR
autor nulo,https://github.com/torvalds/linux,96b340406724d87e4621284ebac5e059d67b2194,C,NÃO FAMILIAR
autor nulo,https://github.com/torvalds/linux,2b13d06c9584b4eb773f1e80bbaedab9a1c344e1,C,NÃO FAMILIAR
autor nulo,https://github.com/torvalds/linux,8e3fbf870481eb53b2d3a322d1fc395ad8b367ed,C,NÃO FAMILIAR
autor nulo,https://github.com/torvalds/linux,e6a623460e5fc960ac3ee9f946d3106233fd28d8,C,NÃO FAMILIAR
autor nulo,https://github.com/torvalds/linux,8d7f6690cedb83456edd41c9bd583783f0703bf0,Perl,NÃO FAMILIAR
autor nulo,https://github.com/facebook/hhvm,851fff90a9b7461df2393af32239ba217bc25946,C++,NÃO FAMILIAR
autor nulo,https://github.com/torvalds/linux,21f8aaee0c62708654988ce092838aa7df4d25d8,C,NÃO FAMILIAR
autor nulo,https://github.com/wikimedia/mediawiki-core,0b695ae09aada343ab59be4a3c9963995a1143b6,PHP,NÃO FAMILIAR
autor nulo,https://github.com/torvalds/linux,a03ffcf873fe0f2565386ca8ef832144c42e67fa,C,NÃO FAMILIAR
autor nulo,https://github.com/torvalds/linux,e9c243a5a6de0be8e584c604d353412584b592f8,C,NÃO FAMILIAR
autor nulo,https://github.com/torvalds/linux,c54def7bd64d7c0b6993336abcffb8444795bf38,C,NÃO FAMILIAR
