username,repositorio,hash,linguagem_programacao,LinhasTotais,LinhasAdicionadas,LinhasRemovidas
mapalomar,https://github.com/RadarCOVID/radar-covid-backend-dp3t-server,6d30c92cc8fcbde3ded7e9518853ef278080344d,HTML,1027.0,546.0,481.0
Kenny2github,https://github.com/ScratchVerifier/ScratchVerifier,a603769010abf8c1bede91af46e4945314e4aa4a,HTML,15.0,8.0,7.0
jmrozanec,https://github.com/jmrozanec/cron-utils,4cf373f7352f5d95f0bf6512af8af326b31c835e,HTML,7.0,4.0,3.0
sebhildebrandt,https://github.com/sebhildebrandt/systeminformation,8113ff0e87b2f422a5756c48f1057575e73af016,HTML,54.0,47.0,7.0
NeuroAssassin,https://github.com/Cog-Creators/Red-Dashboard,99d88b840674674166ce005b784ae8e31e955ab1,HTML,8.0,6.0,2.0
NeuroAssassin,https://github.com/Cog-Creators/Red-Dashboard,a6b9785338003ec87fb75305e7d1cc2d40c7ab91,HTML,57.0,41.0,16.0
sebhildebrandt,https://github.com/sebhildebrandt/systeminformation,1faadcbf68f1b1fdd5eb2054f68fc932be32ac99,HTML,29.0,27.0,2.0
cure53,https://github.com/cure53/DOMPurify,02724b8eb048dd219d6725b05c3000936f11d62d,HTML,26.0,16.0,10.0
ffdixon,https://github.com/bigbluebutton/bigbluebutton,d0bc77c3dbd858295004f15d7a57ec35e6b203d6,HTML,2.0,1.0,1.0
Sdju,https://github.com/Sdju/js-ini,fa17efb7e3a7c9464508a254838d4c231784931e,HTML,119.0,104.0,15.0
msssk,https://github.com/dojo/dijit,462bdcd60d0333315fe69ab4709c894d78f61301,HTML,59.0,56.0,3.0
Bouke,https://github.com/jazzband/django-user-sessions,f0c4077e7d1436ba6d721af85cee89222ca5d2d9,HTML,13.0,1.0,12.0
sebhildebrandt,https://github.com/sebhildebrandt/systeminformation,931fecaec2c1a7dcc10457bb8cd552d08089da61,HTML,16.0,14.0,2.0
sebhildebrandt,https://github.com/sebhildebrandt/systeminformation,73dce8d717ca9c3b7b0d0688254b8213b957f0fa,HTML,145.0,112.0,33.0
michaeloffner,https://github.com/lucee/Lucee,6208ab7c44c61d26c79e0b0af10382899f57e1ca,HTML,15.0,13.0,2.0
trasher,https://github.com/galette/galette,514418da973ae5b84bf97f94bd288a41e8e3f0a6,HTML,51.0,27.0,24.0
