username,repositorio,hash,linguagem_programacao,Classificacao,tempo_criacao
JasonYanHw,https://github.com/torvalds/linux,b90cd6f2b905905fb42671009dc0e27c310a16ae,C,NÃO FAMILIAR,2017-07-28 04:08:11+00:00
detonin,https://github.com/uclouvain/openjpeg,5d00b719f4b93b1445e6fb4c766b9a9883c57949,C,NÃO FAMILIAR,2010-10-06 17:38:05+00:00
JinXiao-Intel,https://github.com/torvalds/linux,54648cf1ec2d7f4b6a71767799c45676a138ca24,C,NÃO FAMILIAR,2019-07-11 01:57:12+00:00
omphalos,https://github.com/omphalos/crud-file-server,4155bfe068bf211b49a0b3ffd06e78cbaf1b40fa,TypeScript,NÃO FAMILIAR,2012-07-06 02:20:06+00:00
rgrove,https://github.com/rgrove/sanitize,01629a162e448a83d901456d0ba8b65f3b03d46e,Ruby,NÃO FAMILIAR,2008-02-28 07:08:51+00:00
3rd-Eden,https://github.com/unshiftio/url-parse,d7b582ec1243e8024e60ac0b62d2569c939ef5de,Markdown,NÃO FAMILIAR,2008-10-08 06:50:16+00:00
alextutubalin,https://github.com/LibRaw/LibRaw,e47384546b43d0fd536e933249047bc397a4d88b,C++,NÃO FAMILIAR,2010-10-17 19:11:20+00:00
knekritz,https://github.com/facebook/proxygen,0600ebe59c3e82cd012def77ca9ca1918da74a71,C++,NÃO FAMILIAR,2013-09-06 17:41:38+00:00
jalopezsilva,https://github.com/facebook/proxygen,52cf331743ebd74194d6343a6c2ec52bb917c982,C++,NÃO FAMILIAR,2011-12-20 23:46:14+00:00
afrind,https://github.com/facebook/proxygen,223e0aa6bc7590e86af1e917185a2e0efe160711,C++,NÃO FAMILIAR,2014-07-24 17:40:07+00:00
rohitdatta,https://github.com/formspree/formspree,5f18eeaaa459bee9a58f70cdf7c46adb1ef34ea7,HTML,NÃO FAMILIAR,2013-12-25 16:24:26+00:00
wiiaboo,https://github.com/mpv-player/mpv,e6e6b0dcc7e9b0dbf35154a179b3dc1fcfcaff43,Lua,NÃO FAMILIAR,2009-08-03 23:07:53+00:00
unbit,https://github.com/unbit/uwsgi,cb4636f7c0af2e97a4eef7a3cdcbd85a71247bfe,C++,NÃO FAMILIAR,2010-04-27 14:25:12+00:00
LiJinyue,https://github.com/torvalds/linux,fbe0e839d1e22d88810f3ee3e2f1479be4c0aa4a,C,NÃO FAMILIAR,2015-01-31 09:32:15+00:00
gomesj,https://github.com/torvalds/linux,5c25f65fd1e42685f7ccd80e0621829c105785d9,C,NÃO FAMILIAR,2014-11-08 09:18:15+00:00
zkat,https://github.com/npm/npm,74e149da6efe6ed89477faa81fef08eee7999ad0,JavaScript,NÃO FAMILIAR,2008-07-19 17:18:14+00:00
saleh-old,https://github.com/voten-co/voten,ee6a322568166e28465da075159a6d4adbf74d53,PHP,NÃO FAMILIAR,2015-07-17 08:57:36+00:00
marcus-h,https://github.com/openSUSE/open-build-service,b15cf19e9e01115f653c76ffdc8f54cd97566553,Ruby,NÃO FAMILIAR,2011-09-21 10:25:21+00:00
marcus-h,https://github.com/openSUSE/open-build-service,990ef7cccef6f38fc1d1a1bb22a08e174dcba43b,Ruby,NÃO FAMILIAR,2011-09-21 10:25:21+00:00
JasonYanHw,https://github.com/torvalds/linux,4a491b1ab11ca0556d2fda1ff1301e862a2d44c4,C,NÃO FAMILIAR,2017-07-28 04:08:11+00:00
pks-t,https://github.com/libgit2/libgit2,3207ddb0103543da8ad2139ec6539f590f9900c1,C,NÃO FAMILIAR,2013-04-04 07:40:22+00:00
pks-t,https://github.com/libgit2/libgit2,3db1af1f370295ad5355b8f64b865a2a357bcac0,C,NÃO FAMILIAR,2013-04-04 07:40:22+00:00
pks-t,https://github.com/libgit2/libgit2,58a6fe94cb851f71214dbefac3f9bffee437d6fe,C,NÃO FAMILIAR,2013-04-04 07:40:22+00:00
KingYes,https://github.com/pojome/activity-log,e7bcd12fcb0add82bed762a971f427a360664bd9,Markdown,NÃO FAMILIAR,2011-07-08 09:10:57+00:00
akallabeth,https://github.com/FreeRDP/FreeRDP,17c363a5162fd4dc77b1df54e48d7bd9bf6b3be7,C++,NÃO FAMILIAR,2013-02-04 14:39:25+00:00
akallabeth,https://github.com/FreeRDP/FreeRDP,602f4a2e14b41703b5f431de3154cd46a5750a2d,C++,NÃO FAMILIAR,2013-02-04 14:39:25+00:00
error ao obter,https://gitlab.com/libtiff/libtiff,58a898cb4459055bb488ca815c23b880c242a27d,C,NÃO FAMILIAR,
nao-pon,https://github.com/Studio-42/elFinder,157f471d7e48f190f74e66eb5bc73360b5352fd3,PHP,NÃO FAMILIAR,2012-02-06 13:37:40+00:00
nao-pon,https://github.com/Studio-42/elFinder,e6351557b86cc10a7651253d2d2aff7f6b918f8e,PHP,NÃO FAMILIAR,2012-02-06 13:37:40+00:00
orgeat,https://github.com/MailCleaner/MailCleaner,c888fbb6aaa7c5f8400f637bcf1cbb844de46cd9,PHP,NÃO FAMILIAR,2010-09-26 11:14:17+00:00
minrk,https://github.com/jupyter/notebook,d65328d4841892b412aef9015165db1eb029a8ed,Markdown,NÃO FAMILIAR,2009-11-11 19:19:11+00:00
petersirka,https://github.com/totaljs/cms,8b9d7dada998c08d172481d9f0fc0397c4b3c78d,HTML,NÃO FAMILIAR,2012-09-24 19:04:19+00:00
drazisil,https://github.com/codecov/codecov-python,2a80aa434f74feb31242b6f213b75ce63ae97902,Python,NÃO FAMILIAR,2010-01-27 16:01:52+00:00
jvoisin,https://github.com/airsonic/airsonic,3e07ea52885f88d3fbec444dfd592f27bfb65647,Java,NÃO FAMILIAR,2010-07-07 20:23:50+00:00
jvoisin,https://github.com/airsonic/airsonic,61c842923a6d60d4aedd126445a8437b53b752c8,Java,NÃO FAMILIAR,2010-07-07 20:23:50+00:00
dbkr,https://github.com/matrix-org/sydent,4e1cfff53429c49c87d5c457a18ed435520044fc,Python,NÃO FAMILIAR,2011-08-17 19:13:35+00:00
pakoito,https://github.com/arrow-kt/arrow,74198dab522393487d5344f194dc21208ab71ae8,PowerShell,NÃO FAMILIAR,2010-12-08 15:54:51+00:00
error ao obter,https://bitbucket.org/tildeslash/monit,1a8295eab6815072a18019b668fe084945b751f3,Markdown,NÃO FAMILIAR,
gregkh,https://github.com/torvalds/linux,c7084edc3f6d67750f50d4183134c4fb5712a5c8,Go,NÃO FAMILIAR,2008-06-25 05:46:49+00:00
JasonYanHw,https://github.com/torvalds/linux,bcf3b67d16a4c8ffae0aa79de5853435e683945c,C,NÃO FAMILIAR,2017-07-28 04:08:11+00:00
iglocska,https://github.com/MISP/MISP,62f15433e42fb92e45bd57dd6fc0c0bf53deb6fc,JavaScript,NÃO FAMILIAR,2013-02-22 10:39:35+00:00
rsriramr,https://github.com/torvalds/linux,592acbf16821288ecdc4192c47e3774a4c48bb64,C,NÃO FAMILIAR,2022-07-25 05:15:28+00:00
Yoha-test,https://github.com/torvalds/linux,a1616a5ac99ede5d605047a9012481ce7ff18b16,C,NÃO FAMILIAR,2020-07-28 07:06:15+00:00
knekritz,https://github.com/facebook/folly,c321eb588909646c15aefde035fd3133ba32cdee,C++,NÃO FAMILIAR,2013-09-06 17:41:38+00:00
jow-,https://github.com/openwrt/luci,9e4b8a91384562e3baee724a52b72e30b1aa006d,Lua,NÃO FAMILIAR,2012-10-10 14:02:31+00:00
rockdaboot,https://gitlab.com/libidn/libidn2,614117ef6e4c60e1950d742e3edf0a0ef8d389de,Markdown,NÃO FAMILIAR,2012-08-03 06:32:49+00:00
dignajar,https://github.com/bludit/bludit,a1bb333153fa8ba29a88cfba423d810f509a2b37,Objective-C,NÃO FAMILIAR,2010-12-03 00:47:27+00:00
error ao obter,https://github.com/sroracle/abuild,4f90ce92778d0ee302e288def75591b96a397c8b,C,NÃO FAMILIAR,
error ao obter,https://gitlab.com/federicomenaquintero/bzip2,74de1e2e6ffc9d51ef9824db71a8ffee5962cdbc,C,NÃO FAMILIAR,
ibennetch,https://github.com/phpmyadmin/phpmyadmin,7d21d4223bdbe0306593309132b4263d7087d13b,SQL,NÃO FAMILIAR,2012-02-16 16:02:10+00:00
Yoha-test,https://github.com/libming/libming,a009a38dce1d9316cad1ab522b813b1d5ba4c62a,C,NÃO FAMILIAR,2020-07-28 07:06:15+00:00
Yoha-test,https://github.com/libming/libming,6e76e8c71cb51c8ba0aa9737a636b9ac3029887f,C,NÃO FAMILIAR,2020-07-28 07:06:15+00:00
Yoha-test,https://github.com/libming/libming,da9d86eab55cbf608d5c916b8b690f5b76bca462,C,NÃO FAMILIAR,2020-07-28 07:06:15+00:00
error ao obter,https://bitbucket.org/butor-team/portal,cd7055d33e194fcf530100ee1d8d13aa9cde230b,Java,NÃO FAMILIAR,
