username,repositorio,hash,linguagem_programacao,LinhasTotais,LinhasAdicionadas,LinhasRemovidas
xiaoqiangnk,https://github.com/torvalds/linux,667eff35a1f56fa74ce98a0c7c29a40adc1ba4e3,C,480.0,72.0,408.0
richardweinberger,https://github.com/torvalds/linux,bfdc0b497faa82a0ba2f9dddcf109231dd519fcc,C,18.0,17.0,1.0
autor nulo,https://github.com/torvalds/linux,7ed47b7d142ec99ad6880bbbec51e9f12b3af74c,C,6.0,6.0,0.0
autor nulo,https://github.com/torvalds/linux,15291164b22a357cb211b618adfef4fa82fc0de3,C,2.0,2.0,0.0
autor nulo,https://github.com/torvalds/linux,f8e9881c2aef1e982e5abc25c046820cd0b7cf64,C,6.0,2.0,4.0
bmarzins,https://github.com/torvalds/linux,64dd153c83743af81f20924c6343652d731eeecb,C,186.0,39.0,147.0
toastdriven,https://github.com/toastdriven/django-tastypie,e8af315211b07c8f48f32a063233cc3f76dd5bc2,Python,102.0,51.0,51.0
nhorman,https://github.com/torvalds/linux,550fd08c2cebad61c548def135f67aba284c6162,C,30.0,22.0,8.0
bonzini,https://github.com/torvalds/linux,0bfc96cb77224736dfa35c3c555d37b3646ef35e,C,57.0,55.0,2.0
bonzini,https://github.com/torvalds/linux,ec8013beddd717d1740cfefb1a9b900deef85462,C,29.0,27.0,2.0
androsadamson,https://github.com/torvalds/linux,bf118a342f10dafe44b14451a1392c3254629a1f,C,137.0,89.0,48.0
adrianschroeter,https://github.com/openSUSE/open-build-service,5281e4bff9df31f1f91e22a0d1e9086b93b23d7e,Ruby,57.0,40.0,17.0
autor nulo,https://github.com/torvalds/linux,dc0b027dfadfcb8a5504f7d8052754bf8d501ab9,C,177.0,94.0,83.0
autor nulo,https://github.com/torvalds/linux,a9cf73ea7ff78f52662c8658d93c226effbbedde,C,2.0,1.0,1.0
brendo,https://github.com/symphonycms/symphony-2,476e4926e2773588eab10dd3036f27e1411521b5,PHP,18.0,9.0,9.0
kohsuke,https://github.com/jenkinsci/winstone,410ed3001d51c689cf59085b7417466caa2ded7b,Java,21.0,19.0,2.0
autor nulo,https://github.com/torvalds/linux,ae53b5bd77719fed58086c5be60ce4f22bffe1c6,C,13.0,13.0,0.0
compudj,https://github.com/torvalds/linux,bc909d9ddbf7778371e36a651d6e4194b1cc7d4c,C,10.0,6.0,4.0
ecsv,https://github.com/torvalds/linux,b5a1eeef04cc7859f34dec9b72ea1b28e4aba07c,C,5.0,2.0,3.0
antonblanchard,https://github.com/torvalds/linux,0837e3242c73566fc1c0196b4ec61779c25ffc93,C,25.0,24.0,1.0
autor nulo,https://github.com/torvalds/linux,f26f9aff6aaf67e9a430d16c266f91b13a5bff64,C,27.0,15.0,12.0
ctfliblime,https://github.com/liblime/LibLime-Koha,8ea6f7bc37d05a9ec25b5afbea011cf9de5f1e49,Perl,1.0,1.0,0.0
bwhacks,https://github.com/torvalds/linux,e0bccd315db0c2f919e7fcf9cb60db21d9986f52,C,140.0,93.0,47.0
alandekok,https://github.com/alandekok/freeradius-server,1b1ec5ce75e224bd1755650c18ccdaa6dc53e605,C,10.0,9.0,1.0
nsams,https://github.com/koala-framework/koala-framework,59f81ea6bd8ef96c04a706a3ca453cd656284faa,PHP,2.0,1.0,1.0
coderanger,https://github.com/opscode/chef,a4ea6edab2fecb922f999cffb0daa04eeeec7a26,Ruby,32.0,31.0,1.0
btm,https://github.com/opscode/chef,33f0e9c58bbf047e1b401a834f3abfe72d9a8947,Ruby,14.0,7.0,7.0
autor nulo,https://github.com/torvalds/linux,c290f8358acaeffd8e0c551ddcc24d1206143376,C,1.0,1.0,0.0
error27,https://github.com/torvalds/linux,12f09ccb4612734a53e47ed5302e0479c10a50f8,C,2.0,1.0,1.0
