Linguagem,Media linhas totais,Mediana linhas totais,Primeiro Quartil Total,Terceiro Quartil Total,Média Adicionadas,Mediana Adicionadas,Primeiro Quartil Adicionadas,Terceiro Quartil Adicionadas,Media Removidas,Mediana Removidas,Primeiro Quartil Removidas,Terceiro Quartil Removidas,Ocorrencia,MEDIA AJUSTADA
Perl,-0.3109397101253058,-0.2603264345351679,-0.2224402970414645,-0.2886862962284663,-0.4746824594395059,-0.5897419839603966,-0.3754554264732529,-0.4983332403490353,-0.2198068783243167,-0.1988641859891757,-0.1943936658931259,-0.2093046712536496,-0.31319654296911,-0.2762414653971249
PHP,-0.0787669352392642,-0.2366418334323604,-0.2224402970414645,-0.2323454165439201,0.2343399567880149,-0.4540077178107815,-0.3754554264732529,-0.2947886773895702,-0.1209264785341385,-0.1988641859891757,-0.1943936658931259,-0.1955017480783094,1.9957286604815727,-0.2441035645299318
PowerShell,0.5638500480609038,-0.1182188279183233,-0.1089845676459436,0.2359881458338693,3.906312447082714,0.6318664113861391,0.4729763164663057,2.274961429973678,-0.1605839904743393,-0.1639475680657482,-0.1382600753151678,-0.1402900553769487,-0.4036062647909741,0.010978390780745
Python,-0.0599091005148801,-0.0826919262641121,-0.1576084516725954,-0.0228277702170143,0.5566228732550698,0.7676006775357542,0.2373008323164283,0.9773648411070872,-0.1613365049324077,-0.1872253133480332,-0.1943936658931259,-0.160994440139959,0.1133518881904538,-0.0771481801506774
Ruby,-0.0948762596394467,-0.1419034290211307,-0.1900243743570299,-0.1267062671353962,0.4346890819293179,0.9033349436853692,-0.186915039153351,0.6211618559280231,-0.1735272391531146,-0.1988641859891757,-0.1943936658931259,-0.1955017480783094,-0.0442855754989502,-0.1650726259194131
Scala,-0.3246822617463145,-0.2840110356379753,-0.254856219725899,-0.3027715161496028,-0.4414277890779371,-0.8612105162596267,-0.5639958137931549,-0.447447099609169,-0.2394475056799,-0.2105030586303181,-0.1943936658931259,-0.2162061328413197,-0.3711514928549203,-0.297868857804607
Shell,-0.3292631122866508,-0.2721687350865716,-0.2224402970414645,-0.3591123958341489,-0.5810152942993367,-0.8612105162596267,-0.5639958137931549,-0.956308507007832,-0.2089706701281328,-0.1988641859891757,-0.1943936658931259,-0.2093046712536496,-0.3340603249280017,-0.315959059865071
SQL,-0.3373559482412447,-0.2484841339837641,-0.254856219725899,-0.2728404238171877,-0.5239486377529411,-0.7254762501100117,-0.5168607169631794,-0.3711178884993696,-0.2368137050766609,-0.2046836223097469,-0.1943936658931259,-0.2093046712536496,-0.3966516708046769,-0.2812945944642936
Swift,0.1014131860139609,-0.0412438743341991,-0.1535564613370411,0.095135946622504,1.4462879432985196,1.3105377421342146,0.0958955418265018,2.274961429973678,-0.1654000830059767,-0.1697670043863195,-0.162317328420007,-0.1678959017276291,-0.3873788788229472,-0.0048884344901646
TypeScript,-0.0850274309777238,-0.1892726312267456,-0.2062323356992472,-0.12142430966497,0.3636636748607823,0.2246636129372939,-0.2340501359833265,0.3031234763038587,-0.1507260510736442,-0.1988641859891757,-0.1943936658931259,-0.1955017480783094,-0.2529233950878673,-0.182859640235847
unknown,5.169055443769927,5.264106772694666,5.272058597970188,5.208070777995062,-1.042475164501846,-1.268413314708472,-0.7525362011130567,-1.2616253514470297,5.285664148349372,5.288864264309501,5.290660042010212,5.287709483325572,-0.4059244627864065,5.057336264999458
