Linguagem,Media linhas totais,Mediana linhas totais,Primeiro Quartil Total,Terceiro Quartil Total,Média Adicionadas,Mediana Adicionadas,Primeiro Quartil Adicionadas,Terceiro Quartil Adicionadas,Media Removidas,Mediana Removidas,Primeiro Quartil Removidas,Terceiro Quartil Removidas,Ocorrencia,MEDIA AJUSTADA
PHP,-0.07876693523926429,-0.23664183343236048,-0.2224402970414645,-0.23234541654392019,0.23433995678801495,-0.45400771781078153,-0.3754554264732529,-0.2947886773895702,-0.12092647853413854,-0.1988641859891757,-0.19439366589312598,-0.19550174807830945,1.9957286604815727,-0.24410356452993187
PowerShell,0.5638500480609038,-0.1182188279183233,-0.10898456764594368,0.23598814583386932,3.9063124470827146,0.6318664113861391,0.4729763164663057,2.274961429973678,-0.16058399047433938,-0.16394756806574828,-0.13826007531516785,-0.14029005537694877,-0.4036062647909741,0.01097839078074508
Python,-0.05990910051488013,-0.08269192626411216,-0.15760845167259546,-0.022827770217014355,0.5566228732550698,0.7676006775357542,0.23730083231642832,0.9773648411070871,-0.16133650493240773,-0.18722531334803322,-0.19439366589312598,-0.16099444013995903,0.11335188819045383,-0.0771481801506774
Ruby,-0.09487625963944671,-0.14190342902113073,-0.19002437435702998,-0.12670626713539623,0.4346890819293179,0.9033349436853693,-0.186915039153351,0.6211618559280231,-0.1735272391531146,-0.1988641859891757,-0.19439366589312598,-0.19550174807830945,-0.04428557549895021,-0.1650726259194131
Rust,-0.11495565450792056,-0.15966687984823633,-0.21433631637035588,-0.008742550295877831,0.4359207363871538,0.42826501216171653,0.09589554182650188,1.1936309392515188,-0.1935441237377321,-0.1988641859891757,-0.21043183462968545,-0.18169882490296926,-0.36883329485948796,-0.15910993362015402
Scala,-0.3246822617463145,-0.28401103563797536,-0.254856219725899,-0.30277151614960285,-0.44142778907793717,-0.8612105162596267,-0.5639958137931549,-0.44744709960916906,-0.23944750567990006,-0.21050305863031818,-0.19439366589312598,-0.2162061328413197,-0.37115149285492033,-0.29786885780460703
Shell,-0.3292631122866508,-0.27216873508657163,-0.2224402970414645,-0.35911239583414895,-0.5810152942993367,-0.8612105162596267,-0.5639958137931549,-0.956308507007832,-0.2089706701281328,-0.1988641859891757,-0.19439366589312598,-0.2093046712536496,-0.33406032492800175,-0.31595905986507106
SQL,-0.33735594824124476,-0.24848413398376418,-0.254856219725899,-0.2728404238171877,-0.5239486377529411,-0.7254762501100117,-0.5168607169631794,-0.3711178884993696,-0.2368137050766609,-0.20468362230974693,-0.19439366589312598,-0.2093046712536496,-0.3966516708046769,-0.2812945944642936
Swift,0.1014131860139609,-0.04124387433419915,-0.15355646133704115,0.09513594662250405,1.4462879432985196,1.3105377421342146,0.09589554182650188,2.274961429973678,-0.1654000830059767,-0.16976700438631953,-0.16231732842000704,-0.1678959017276291,-0.38737887882294725,-0.004888434490164699
TeX,-0.43737118503858585,-0.3195379372921865,-0.254856219725899,-0.41545327551869504,-1.0083993911683866,-1.132679048558857,-0.5639958137931549,-1.2107392107071635,-0.24659639303154918,-0.21050305863031818,-0.19439366589312598,-0.23000905601665986,-0.4175154527635686,-0.3697243531397462
